transaction_id,transaction_date,account_id,transaction_type,channel,amount,status,region
TXN100461,2026-01-02,ACCT1047,Refund,Card,61.48,Pending,Midwest
TXN100474,2026-01-02,ACCT1054,Transfer,Card,174.86,Pending,Northeast
TXN100337,2026-01-02,ACCT1067,Payment,ACH,646.32,Declined,West
TXN100039,2026-01-03,ACCT1046,Transfer,Online Transfer,267.48,Completed,Northeast
TXN100117,2026-01-03,ACCT1029,Fee,Card,167.99,Completed,South
TXN100122,2026-01-03,ACCT1052,Transfer,Card,1332.2,Completed,West
TXN100316,2026-01-03,ACCT1091,Transfer,ACH,745.39,Completed,Northeast
TXN100141,2026-01-04,ACCT1041,Payment,Online Transfer,3840.51,Completed,Midwest
TXN100397,2026-01-04,ACCT1095,Payment,Wire,1017.56,Completed,South
TXN100272,2026-01-06,ACCT1080,Refund,Card,68.72,Completed,Midwest
TXN100239,2026-01-07,ACCT1063,Transfer,ACH,166.8,Completed,South
TXN100242,2026-01-07,ACCT1041,Payment,ACH,66.23,Declined,Northeast
TXN100266,2026-01-07,ACCT1055,Payment,Wire,114.98,Completed,South
TXN100331,2026-01-08,ACCT1011,Payment,ACH,221.01,Declined,Midwest
TXN100080,2026-01-08,ACCT1028,Refund,Wire,89.32,Completed,West
TXN100197,2026-01-08,ACCT1061,Transfer,Card,530.2,Completed,Northeast
TXN100395,2026-01-09,ACCT1065,Payment,Online Transfer,286.82,Declined,Midwest
TXN100496,2026-01-09,ACCT1008,Payment,Wire,167.05,Completed,Northeast
TXN100082,2026-01-11,ACCT1048,Transfer,Card,447.41,Pending,Midwest
TXN100203,2026-01-12,ACCT1072,Refund,Wire,81.21,Completed,Midwest
TXN100019,2026-01-12,ACCT1060,Payment,ACH,693.67,Completed,West
TXN100115,2026-01-13,ACCT1057,Refund,Wire,35.04,Completed,South
TXN100018,2026-01-13,ACCT1087,Fee,Wire,78.58,Declined,Northeast
TXN100480,2026-01-13,ACCT1069,Payment,Online Transfer,189.65,Declined,Midwest
TXN100268,2026-01-14,ACCT1065,Payment,Online Transfer,754.22,Pending,Northeast
TXN100083,2026-01-14,ACCT1027,Payment,ACH,2142.1,Completed,Northeast
TXN100382,2026-01-14,ACCT1038,Transfer,Online Transfer,166.68,Declined,Midwest
TXN100427,2026-01-14,ACCT1070,Fee,Online Transfer,40.54,Completed,South
TXN100034,2026-01-15,ACCT1057,Transfer,Card,48.57,Completed,West
TXN100444,2026-01-16,ACCT1035,Refund,Online Transfer,116.39,Completed,Midwest
TXN100182,2026-01-16,ACCT1068,Refund,Card,198.62,Completed,Midwest
TXN100123,2026-01-16,ACCT1086,Transfer,Card,35.29,Pending,West
TXN100493,2026-01-16,ACCT1038,Payment,Wire,187.09,Completed,West
TXN100329,2026-01-16,ACCT1066,Payment,Online Transfer,159.68,Completed,Northeast
TXN100205,2026-01-17,ACCT1013,Payment,Online Transfer,334.82,Completed,Northeast
TXN100071,2026-01-17,ACCT1048,Payment,ACH,182.73,Completed,Midwest
TXN100275,2026-01-17,ACCT1041,Payment,ACH,88.69,Completed,South
TXN100243,2026-01-18,ACCT1095,Refund,Wire,201.83,Completed,South
TXN100194,2026-01-18,ACCT1063,Refund,ACH,558.97,Completed,Northeast
TXN100421,2026-01-19,ACCT1094,Payment,Online Transfer,108.7,Completed,Midwest
TXN100021,2026-01-19,ACCT1053,Payment,ACH,60.59,Completed,Midwest
TXN100116,2026-01-20,ACCT1059,Payment,Card,379.07,Completed,Midwest
TXN100022,2026-01-21,ACCT1052,Transfer,Online Transfer,830.92,Completed,Northeast
TXN100179,2026-01-21,ACCT1086,Payment,Online Transfer,252.66,Completed,West
TXN100068,2026-01-22,ACCT1084,Payment,Online Transfer,103.15,Completed,Midwest
TXN100270,2026-01-22,ACCT1073,Refund,Online Transfer,1391.38,Completed,West
TXN100104,2026-01-24,ACCT1014,Transfer,ACH,496.75,Completed,West
TXN100107,2026-01-24,ACCT1075,Refund,Online Transfer,1908.06,Completed,Midwest
TXN100262,2026-01-24,ACCT1096,Transfer,Wire,416.83,Declined,Northeast
TXN100365,2026-01-24,ACCT1003,Fee,Card,81.49,Completed,Northeast
TXN100322,2026-01-24,ACCT1012,Payment,Wire,152.56,Completed,West
TXN100296,2026-01-25,ACCT1002,Payment,Card,258.02,Completed,Midwest
TXN100460,2026-01-25,ACCT1066,Payment,Card,167.15,Completed,South
TXN100293,2026-01-25,ACCT1074,Transfer,ACH,399.76,Completed,West
TXN100319,2026-01-25,ACCT1067,Transfer,Online Transfer,916.33,Completed,West
TXN100035,2026-01-26,ACCT1062,Payment,Wire,204.33,Completed,West
TXN100356,2026-01-26,ACCT1015,Transfer,Wire,105.02,Declined,Northeast
TXN100046,2026-01-27,ACCT1012,Fee,Online Transfer,169.12,Declined,South
TXN100069,2026-01-27,ACCT1018,Payment,ACH,97.17,Completed,West
TXN100436,2026-01-28,ACCT1099,Transfer,Online Transfer,200.87,Declined,Midwest
TXN100043,2026-01-28,ACCT1004,Transfer,Wire,1025.51,Completed,West
TXN100154,2026-01-28,ACCT1043,Payment,ACH,123.97,Completed,South
TXN100284,2026-01-29,ACCT1088,Payment,Online Transfer,578.42,Completed,West
TXN100233,2026-01-30,ACCT1027,Transfer,Wire,253.64,Declined,Northeast
TXN100037,2026-01-30,ACCT1012,Payment,Card,112.32,Completed,South
TXN100234,2026-01-31,ACCT1020,Payment,Online Transfer,337.86,Completed,Midwest
TXN100492,2026-01-31,ACCT1056,Payment,Online Transfer,206.04,Pending,South
TXN100074,2026-01-31,ACCT1064,Transfer,Online Transfer,488.11,Pending,South
TXN100253,2026-01-31,ACCT1095,Payment,Online Transfer,123.32,Completed,South
TXN100208,2026-02-01,ACCT1080,Payment,Wire,214.13,Completed,Midwest
TXN100248,2026-02-01,ACCT1099,Transfer,Wire,1059.05,Declined,Northeast
TXN100040,2026-02-02,ACCT1077,Refund,Online Transfer,560.42,Pending,Northeast
TXN100209,2026-02-02,ACCT1033,Transfer,Wire,332.75,Completed,Northeast
TXN100340,2026-02-02,ACCT1016,Transfer,Wire,98.13,Pending,Northeast
TXN100396,2026-02-04,ACCT1030,Fee,ACH,294.36,Declined,Northeast
TXN100070,2026-02-04,ACCT1008,Transfer,Wire,101.33,Completed,West
TXN100221,2026-02-04,ACCT1037,Transfer,Wire,141.21,Completed,Midwest
TXN100178,2026-02-05,ACCT1005,Payment,Wire,289.28,Completed,Midwest
TXN100368,2026-02-05,ACCT1078,Transfer,ACH,339.34,Completed,Northeast
TXN100349,2026-02-05,ACCT1029,Payment,Card,44.67,Completed,Midwest
TXN100133,2026-02-05,ACCT1095,Transfer,Online Transfer,359.15,Completed,Midwest
TXN100338,2026-02-06,ACCT1091,Fee,Wire,327.26,Completed,South
TXN100257,2026-02-06,ACCT1070,Payment,Online Transfer,264.04,Completed,West
TXN100013,2026-02-06,ACCT1032,Transfer,Wire,213.38,Declined,West
TXN100131,2026-02-07,ACCT1064,Transfer,ACH,2030.8,Completed,Northeast
TXN100394,2026-02-08,ACCT1078,Transfer,ACH,79.41,Completed,West
TXN100187,2026-02-08,ACCT1040,Payment,Online Transfer,39.67,Completed,Northeast
TXN100109,2026-02-08,ACCT1011,Fee,Online Transfer,170.51,Completed,West
TXN100081,2026-02-09,ACCT1074,Payment,Online Transfer,510.19,Declined,West
TXN100091,2026-02-10,ACCT1004,Payment,Online Transfer,665.85,Completed,Midwest
TXN100398,2026-02-11,ACCT1064,Payment,Wire,116.17,Completed,Midwest
TXN100353,2026-02-11,ACCT1015,Payment,Online Transfer,192.14,Declined,South
TXN100240,2026-02-12,ACCT1031,Fee,Card,235.93,Pending,Northeast
TXN100380,2026-02-12,ACCT1015,Fee,Online Transfer,109.86,Completed,South
TXN100217,2026-02-13,ACCT1039,Transfer,Wire,206.56,Completed,West
